date,AAPL,CAT,CVX,GS,HON,JNJ,JPM,KO,MSFT,PG,UNH,XOM
2005-01-04,0.010217815757585616,-0.011106469180147965,-0.006900350806363577,-0.006500569226382112,-0.01800822324080712,-0.00318483488535448,-0.010360083254199855,-0.014060648622837721,0.003732993703322901,-0.012581409802740733,-0.010327684401675809,-0.006811098817075242
2005-01-05,0.00871968951211612,-0.01933007132236194,0.006506985361230761,-0.004517542309803608,-0.002888643082086273,-0.0006376477928896685,0.0020804820609442993,-0.004649336475701614,-0.0022382897394983294,0.010404937497490142,0.0034928338148034165,-0.005239669402376272
2005-01-06,0.0007750891834670137,0.014639222370326891,0.01656776935680815,0.01368186352174584,-0.006675366767171848,0.00286806325364307,0.005699754775485741,0.008304846943473738,-0.0011209744215306741,0.0048905586982286205,0.021845401373520156,0.012649647271593319
2005-01-07,0.07028262212247142,-0.002139073068572784,-0.011274825442771719,-0.00428491159566876,-0.0037930875450999718,-0.0036671258669990353,-0.008040623451558373,0.0012152174587634714,-0.0029952144395051445,0.010426472739193947,-0.007992760096088137,-0.006605837024756127
2005-01-10,-0.004196069063038246,-0.009252492427925365,0.00448623553097015,0.0019066047406379042,-0.0032206176190064917,0.007795823843728119,-0.003391472318495043,0.005573192431700654,0.004862392553408405,0.00783774341512132,0.004232735106606416,0.0038086434983292533
2005-01-11,-0.06593227345803966,-0.013931295309298767,0.00038928590496663533,-0.007745353476784837,-0.0029362921514545317,-0.0034923171581266,-0.009714894012158668,-0.005573192431700659,-0.00261498501530396,-0.001065574812266135,-0.0010280739412566748,-0.002604970800065799
2005-01-12,0.013844926161777986,0.012308540965447215,0.020984224050043538,-0.00867746998981674,0.028415498619027275,0.006973035227433611,0.002371450453300604,0.0,0.0018687813229312544,0.003723024998792679,0.006605775536062948,0.014736052208251495
2005-01-13,0.06419484712917126,0.005291050602771944,-0.008225227679407325,-0.0032003563517868754,-0.011501043646533328,-0.0215512260020053,-0.005807299871009775,-0.01025620633762643,-0.019227903589257894,-0.017494360422416193,0.0035134581519549453,-0.0007913426408788453
2005-01-14,0.005713810065514591,0.00889887182102366,0.004598726370471876,0.01235755995227703,0.021740332094617735,0.011711394495215965,0.0010583199783951148,0.0056298662964486285,-0.0057263183388520595,0.006283380985166175,0.013036702182478635,0.010234355609428411
2005-01-18,0.0063896607984442735,-0.008073339148041096,0.014992537422011268,0.007456444965566418,0.014328150813099095,0.005249456788551165,0.01548389576996782,0.00681091227911896,0.007628003510480343,0.001966793523928897,-0.008521929075788219,0.008384908199372315
